time/time_elapsed,train/reward,time/total_timesteps,time/fps,time/iterations,train/clip_fraction,train/std,train/n_updates,train/entropy_loss,train/approx_kl,train/clip_range,train/loss,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/learning_rate
13,0.1520569,2048,149,1,,,,,,,,,,,
27,0.8343232,4096,150,2,0.22998046875,1.0020554065704346,10,-41.1762868642807,0.016970556,0.2,6.878366947174072,0.0013158321380615234,13.371425020694733,-0.025601651318720543,0.00025
40,-1.295663,6144,152,3,0.17470703125,1.0034332275390625,20,-41.225238013267514,0.016776072,0.2,36.35559844970703,-0.002024054527282715,52.63500343561172,-0.020345507212914525,0.00025
53,2.6383958,8192,152,4,0.20478515625,1.0047427415847778,30,-41.26476130485535,0.016155975,0.2,11.016658782958984,-0.008430004119873047,49.94687671661377,-0.02043111058010254,0.00025
67,2.2323153,10240,152,5,0.170556640625,1.0045198202133179,40,-41.279848623275754,0.015048754,0.2,5.918925762176514,-0.008050918579101562,14.52174333333969,-0.017605379817541688,0.00025
80,1.6445134,12288,152,6,0.207861328125,1.0059006214141846,50,-41.29874243736267,0.015938692,0.2,37.2971305847168,-0.0038483142852783203,40.72219675779343,-0.023888553645520005,0.00025
93,0.8907569,14336,152,7,0.2072265625,1.006866693496704,60,-41.33314988613129,0.019100247,0.2,12.484959602355957,0.009179472923278809,29.03182322382927,-0.02190652070712531,0.00025
107,-0.16296615,16384,152,8,0.179736328125,1.0084588527679443,70,-41.37172644138336,0.018272676,0.2,5.777463436126709,0.005357861518859863,12.586689096689224,-0.02623602189414669,0.00025
120,0.5982949,18432,152,9,0.211279296875,1.0107004642486572,80,-41.42566182613373,0.023011621,0.2,14.315400123596191,6.842613220214844e-05,28.2112839281559,-0.01978414581826655,0.00025
134,1.1991652,20480,151,10,0.227001953125,1.012728214263916,90,-41.48328983783722,0.020023275,0.2,15.614689826965332,0.0007051229476928711,58.55607227087021,-0.021066920357407072,0.00025
148,2.2406929,22528,151,11,0.183154296875,1.0134128332138062,100,-41.521750164031985,0.020026704,0.2,29.439468383789062,0.007410228252410889,58.54590674638748,-0.015975374136178288,0.00025
161,0.5997187,24576,152,12,0.263525390625,1.0137988328933716,110,-41.54081082344055,0.023811925,0.2,16.444454193115234,-0.005793571472167969,20.720232844352722,-0.017227658099727705,0.00025
174,0.28641874,26624,152,13,0.274267578125,1.0163466930389404,120,-41.577762150764464,0.025625575,0.2,26.574132919311523,-0.009511232376098633,59.67158867120743,-0.017883718237862924,0.00025
188,-0.999487,28672,152,14,0.16416015625,1.016406536102295,130,-41.618915224075316,0.0163511,0.2,42.391536712646484,-0.0003063678741455078,74.20061115026473,-0.01434307906893082,0.00025
201,3.045265,30720,152,15,0.152685546875,1.018172025680542,140,-41.64033534526825,0.015547041,0.2,12.840211868286133,0.016638338565826416,34.82022833824158,-0.014843482786091045,0.00025
215,-0.5941102,32768,152,16,0.129638671875,1.0195146799087524,150,-41.687788820266725,0.013800589,0.2,28.117862701416016,0.030267834663391113,50.36319180727005,-0.011649613943882286,0.00025
228,1.3193874,34816,152,17,0.125537109375,1.0200395584106445,160,-41.71399130821228,0.017016504,0.2,38.41157913208008,0.033272624015808105,56.29986718893051,-0.011536524357507006,0.00025
241,-0.8179182,36864,152,18,0.14755859375,1.0207428932189941,170,-41.73155269622803,0.014480997,0.2,20.638721466064453,-0.0044786930084228516,46.2558509349823,-0.012690813902008814,0.00025
255,-0.9157578,38912,152,19,0.176708984375,1.0216906070709229,180,-41.75365214347839,0.01719398,0.2,6.070286273956299,0.09395551681518555,15.18607947230339,-0.01552830935397651,0.00025
269,-0.30632174,40960,151,20,0.1625,1.0238081216812134,190,-41.79396829605103,0.018687598,0.2,22.707916259765625,0.005327105522155762,53.722765707969664,-0.013957438638317398,0.00025
282,-11.133877,43008,152,21,0.187548828125,1.0251785516738892,200,-41.8430748462677,0.026095737,0.2,58.77596664428711,-0.023154020309448242,130.7670407295227,-0.007272054656641558,0.00025
296,2.665697,45056,151,22,0.246484375,1.0272656679153442,210,-41.89275550842285,0.030490551,0.2,14.074832916259766,0.011966347694396973,32.453689467906955,-0.011055951192975044,0.00025
309,0.16875975,47104,152,23,0.234326171875,1.0295296907424927,220,-41.94493746757507,0.032419875,0.2,26.052446365356445,-0.011582136154174805,51.50263786315918,-0.00995332483726088,0.00025
323,3.7876568,49152,152,24,0.27802734375,1.0295307636260986,230,-41.98409349918366,0.027115578,0.2,22.402626037597656,0.009946107864379883,78.31771130561829,-0.008689953094290104,0.00025
336,-0.29658866,51200,152,25,0.2982421875,1.0316375494003296,240,-42.01435134410858,0.033218548,0.2,34.236106872558594,0.01626795530319214,90.87111465930938,-0.007713384312955896,0.00025
